gen,err_cm,jerk,success_pct
0,23.99,0.247,0.0
1,20.92,0.19,5.0
2,19.16,0.231,0.0
3,17.99,0.309,0.0
4,19.26,0.216,5.0
5,17.68,0.282,5.0
6,17.18,0.25,5.0
7,16.5,0.258,0.0
8,16.19,0.287,0.0
9,15.69,0.24,5.0
10,15.74,0.194,5.0
11,15.88,0.182,5.0
12,15.28,0.187,5.0
13,14.58,0.202,5.0
14,14.15,0.23,0.0
15,14.21,0.21,5.0
16,13.96,0.215,0.0
17,13.83,0.202,0.0
18,13.86,0.208,0.0
19,13.99,0.199,5.0
20,13.82,0.198,5.0
21,13.42,0.199,5.0
22,13.12,0.21,0.0
23,13.1,0.202,5.0
24,13.04,0.195,5.0
25,12.9,0.201,0.0
26,12.88,0.194,0.0
27,12.79,0.192,0.0
28,12.76,0.189,5.0
29,12.89,0.184,5.0
30,12.62,0.194,5.0
31,12.46,0.196,5.0
32,12.42,0.193,5.0
33,12.24,0.195,0.0
34,12.22,0.198,0.0
35,12.11,0.191,0.0
36,12.08,0.189,0.0
37,12.13,0.18,5.0
38,12.1,0.178,5.0
39,11.96,0.187,5.0
40,11.79,0.197,0.0
41,11.83,0.198,5.0
42,11.87,0.191,10.0
43,11.65,0.194,5.0
44,11.48,0.191,5.0
45,11.53,0.191,10.0
46,11.47,0.196,5.0
47,11.53,0.191,10.0
48,11.75,0.199,5.0
49,11.53,0.199,5.0
50,11.46,0.192,5.0
51,11.39,0.187,10.0
52,11.4,0.179,10.0
53,11.11,0.176,5.0
54,10.94,0.181,10.0
55,10.74,0.188,10.0
56,10.78,0.18,10.0
57,10.58,0.178,5.0
58,10.56,0.173,5.0
59,10.61,0.169,15.0
60,10.54,0.175,15.0
61,10.33,0.182,10.0
62,10.15,0.175,10.0
63,10.07,0.171,15.0
64,9.91,0.174,5.0
65,9.83,0.17,5.0
66,9.76,0.176,5.0
67,9.66,0.169,5.0
68,9.51,0.167,20.0
69,9.51,0.173,15.0
70,9.36,0.18,10.0
71,9.25,0.174,15.0
72,9.05,0.169,20.0
73,9.04,0.166,20.0
74,9.17,0.166,20.0
75,9.09,0.165,25.0
76,8.9,0.167,25.0
77,8.86,0.169,20.0
78,8.94,0.166,25.0
79,8.76,0.171,20.0
80,8.69,0.173,10.0
81,8.66,0.17,20.0
82,8.62,0.172,10.0
83,8.48,0.174,20.0
84,8.46,0.17,25.0
85,8.34,0.174,20.0
86,8.24,0.174,25.0
87,8.42,0.181,20.0
88,8.25,0.179,20.0
89,8.04,0.175,20.0
90,8.0,0.177,30.0
91,8.19,0.176,20.0
92,7.93,0.178,30.0
93,7.97,0.184,20.0
94,7.76,0.181,20.0
95,7.59,0.177,25.0
96,7.58,0.176,25.0
97,7.56,0.175,25.0
98,7.62,0.171,25.0
99,7.68,0.173,25.0
100,7.75,0.176,25.0
101,7.79,0.181,25.0
102,7.57,0.177,30.0
103,7.52,0.174,30.0
104,7.53,0.176,30.0
105,7.34,0.174,30.0
106,7.38,0.175,30.0
107,7.5,0.174,30.0
108,7.47,0.173,30.0
109,7.38,0.17,35.0
110,7.23,0.169,35.0
111,7.09,0.169,35.0
112,7.14,0.173,35.0
113,7.48,0.172,25.0
114,7.32,0.17,35.0
115,7.53,0.167,35.0
116,7.57,0.164,25.0
117,7.07,0.17,30.0
118,6.99,0.173,35.0
119,6.99,0.172,30.0
